,pert_iname,sig_id,files_combined,moa_v1
0,BELINOSTAT,GSE96649,../snac_data/use_case_graphs/GSE96649_BELINOSTAT/graph_44.csv,HDAC Inhibitor UC
1,BELINOSTAT,GSE96649,../snac_data/use_case_graphs/GSE96649_BELINOSTAT/graph_14.csv,HDAC Inhibitor UC
2,BELINOSTAT,GSE96649,../snac_data/use_case_graphs/GSE96649_BELINOSTAT/graph_96.csv,HDAC Inhibitor UC
3,BELINOSTAT,GSE96649,../snac_data/use_case_graphs/GSE96649_BELINOSTAT/graph_15.csv,HDAC Inhibitor UC
4,BELINOSTAT,GSE96649,../snac_data/use_case_graphs/GSE96649_BELINOSTAT/graph_18.csv,HDAC Inhibitor UC
5,BELINOSTAT,GSE96649,../snac_data/use_case_graphs/GSE96649_BELINOSTAT/graph_92.csv,HDAC Inhibitor UC
6,BELINOSTAT,GSE96649,../snac_data/use_case_graphs/GSE96649_BELINOSTAT/graph_75.csv,HDAC Inhibitor UC
7,BELINOSTAT,GSE96649,../snac_data/use_case_graphs/GSE96649_BELINOSTAT/graph_84.csv,HDAC Inhibitor UC
8,BELINOSTAT,GSE96649,../snac_data/use_case_graphs/GSE96649_BELINOSTAT/graph_91.csv,HDAC Inhibitor UC
9,BELINOSTAT,GSE96649,../snac_data/use_case_graphs/GSE96649_BELINOSTAT/graph_64.csv,HDAC Inhibitor UC
10,BELINOSTAT,GSE96649,../snac_data/use_case_graphs/GSE96649_BELINOSTAT/graph_32.csv,HDAC Inhibitor UC
11,BELINOSTAT,GSE96649,../snac_data/use_case_graphs/GSE96649_BELINOSTAT/graph_45.csv,HDAC Inhibitor UC
12,BELINOSTAT,GSE96649,../snac_data/use_case_graphs/GSE96649_BELINOSTAT/graph_61.csv,HDAC Inhibitor UC
13,BELINOSTAT,GSE96649,../snac_data/use_case_graphs/GSE96649_BELINOSTAT/graph_5.csv,HDAC Inhibitor UC
14,BELINOSTAT,GSE96649,../snac_data/use_case_graphs/GSE96649_BELINOSTAT/graph_72.csv,HDAC Inhibitor UC
15,BELINOSTAT,GSE96649,../snac_data/use_case_graphs/GSE96649_BELINOSTAT/graph_36.csv,HDAC Inhibitor UC
16,BELINOSTAT,GSE96649,../snac_data/use_case_graphs/GSE96649_BELINOSTAT/graph_9.csv,HDAC Inhibitor UC
17,BELINOSTAT,GSE96649,../snac_data/use_case_graphs/GSE96649_BELINOSTAT/graph_6.csv,HDAC Inhibitor UC
18,BELINOSTAT,GSE96649,../snac_data/use_case_graphs/GSE96649_BELINOSTAT/graph_42.csv,HDAC Inhibitor UC
19,BELINOSTAT,GSE96649,../snac_data/use_case_graphs/GSE96649_BELINOSTAT/graph_28.csv,HDAC Inhibitor UC
